file,subsystem,category,evidence,replacement,priority,activity,sha256,upstream_sha256,upstream_normalized_sha256,alpha3_equal,review_status
build.py,platform/build,A,"Expose OFF/ON, removable statistics and optional debug through the existing build driver; record build flags.",no,preserve,source inventory; build membership not inferred,f174421b13c5dc6bc69ab96b594b4516286e848f4c1133ffcae6c030377b5d52,,,False,verified-review
cmake/3DS.cmake,platform/build,A,Independently authored cross-compiler policy using public CMake variables and devkitARM ABI flags,no,preserve,source inventory; build membership not inferred,263638ec73258cf06dd8b9ec29ed05427c8605b8f2e9470e0cdec6ac2188be23,,,False,verified-review
cmake/AudioCodecs3DS.cmake,audio,A,Declarative adapter to upstream Opus/opusfile CMake options with consistent public integer types,no,preserve,source inventory; build membership not inferred,96f31b8a85c7dd5697d94e3483cb3016b2c39d554285601e6705e07f3def367c,,,False,verified-review
CMakeLists.txt,platform/build,A,Default-off CMake options; compile bridge in existing backend; apply matching flags only to native targets and the three measured MM units.,no,preserve,source inventory; build membership not inferred,abd0974da406174c1b10ea2697ef757049ccd690939b09a4d80db6ab9def6991,,,False,verified-review
LANCER-WIZARD.bat,platform/build,A,Minimal launcher rooted at its own directory; no recursive discovery or legacy wizard worker,no,preserve,source inventory; build membership not inferred,9d1790ec0fe30373b7052b5f6f4365b4afd729ce4700224ae9837f69874b6158,,,False,verified-review
platform/3ds/cia/app.rsf,platform/build,D,"Declarative makerom RSF using public format fields, SVC numbers, service names and module IDs; 134 of 137 mapping keys occur as active settings in the public buildtools template, while act/nfc/qtm occur there as commented module examples with matching IDs. Project choices are title/product ID, ROMFS path, SD flag, memory size, CPU speed, stack and selected service capabilities. Real package validation verifies TitleID, flags and sections.",no,preserve,source inventory; build membership not inferred,7f56f2ccdb2037718b6442d5c8c635be32bbd938f5a442044c602433b50f71cf,,,False,verified-review
scripts/audit_blinky_provenance.py,platform/build,A,"Read the current build and observed user feedback from the reviewed manifest, retaining all pinned-archive, source/delta SHA, stale-review and attribution checks. This allows the 07 startup regression to be recorded without rewriting historical 07 evidence.",no,preserve,source inventory; build membership not inferred,75a4bf89be41fb72d159481c4947cea6d41385065b7948e6b802b0fa4d74a2ad,,,False,verified-review
scripts/bin2c.py,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,source inventory; build membership not inferred,42cda5e76022c81d43e0e525576b65add3c7d06d1add5cdcf944dcc2cb625746,,,False,verified-review
scripts/build_clock.py,platform/build,A,"Bounded traversal, prevalidated cache backup plan, incremental repair journal and source race checks",no,preserve,source inventory; build membership not inferred,46873f88198aa5d483d3b99e2bc9fa45a77be4efeb202428cdd104b9c7ac7497,,,False,verified-review
scripts/build_lus_3ds.py,platform/build,A,"BuildTools orchestration with pinned inputs, disconnected FetchContent and archive verification",no,preserve,source inventory; build membership not inferred,9860257373f530eec28a2201ae4f2b5e62a55215765d4b2ff167c6d0816accf9,,,False,verified-review
scripts/package_3ds.py,platform/build,A,"Bounded binary-view validator, staged CLI packaging and new procedural two-sail artwork",no,preserve,source inventory; build membership not inferred,d33e0f1d6bb66103d6cb2b76334f37510d5491493881bc9102baa9e8afa5469e,,,False,verified-review
scripts/prepare_support.py,platform/build,A,"Digest-gated official resource overlay, temporary ZIP validation and atomic output publication",no,preserve,source inventory; build membership not inferred,375bce51e4fe0458bc6a3bdaf73a98ace9ba660a764f022b8ebcf4e22d798b8d,,,False,verified-review
scripts/summarize_blinky_visibility.py,platform/build,A,"New offline parser for explicitly sampled frames; median/p95/mean, no invented hardware result.",no,preserve,source inventory; build membership not inferred,6ebd0893d483a6b639ded0c306223d5fe34c94de952057819a12cdd99a31467a,,,False,verified-review
scripts/verify_port.py,platform/build,A,Register the new core regression program while preserving all existing programs.,no,preserve,source inventory; build membership not inferred,f0171f7324352dfa912c518e58ec9763148527a236c98b95414e8ff566bb9cdc,,,False,verified-review
src/blinky/coarse_occlusion.h,platform/build,A,"Independent fixed 50x30 grid, actual full-triangle-cell coverage, opposing depth/coverage margins, bounded work and current-frame invalidation; two independent eye proofs.",no,preserve,source inventory; build membership not inferred,82f76b912edb2461f1ab89821fbff94243fbd5e73ff1d22334c4fb9435a66fca,,,False,verified-review
src/blinky/gfx_blinky_citro3d.cpp,graphics,A,Reject whole tagged static OPA batches before Blinky processing; register only accepted unsplit GPU triangles under strict material/Z/target conditions; preserve hardware depth and all state commands; instrument actual calls/copies/waits.,no,preserve,source inventory; build membership not inferred,1c42279b0afeea9d7df1c814e6eb8971c0a5f30f73bf8a00164126208a692f49,,,False,verified-review
src/blinky/gfx_blinky_citro3d.h,graphics,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,source inventory; build membership not inferred,d068c7d90901121bbe388786b31402164def4916569c4fa5530a1c229cde59f1,,,False,verified-review
src/blinky/input_core.h,input,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,source inventory; build membership not inferred,e6ab7d2628e4172fb4ae27d91a282b7352df1ea103c39c35f8993d9d2eed7b16,,,False,verified-review
src/blinky/native_input.cpp,input,A,Blinky12 marker and optional sampled occlusion/PICA counters; preserve fixed20 FPS and settings behavior.,no,preserve,source inventory; build membership not inferred,cec38b72db1f0eb59b8e040b39fff7825844c90cf8966d04237eb6b12111e887,,,False,verified-review
src/blinky/native_runtime.cpp,platform/build,A,Only update startup version marker to occlusion prototype12;20 FPS unchanged.,no,preserve,source inventory; build membership not inferred,197b8c2d97b7279ee763b3a9f1b7554a7036e8e55d6ea5af285e1e360fdd3786,,,False,verified-review
src/blinky/passthrough.v.pica,platform/build,A,Blinky pass-through shader; independently added TEXCOORD2 transport follows public PICA/libctru shader attribute semantics for the fog texture.,no,preserve,source inventory; build membership not inferred,289b4f77c01b00071cb4aa3655bad81a702315d28447c107305f82bbf2558253,,,False,verified-review
src/blinky/render_core.h,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,source inventory; build membership not inferred,3b2a39821e5f39894a4baa4fe3f5d4bd291514dc8bec3fcbc2ab338346ccf53b,,,False,verified-review
src/blinky/smoke.cpp,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,source inventory; build membership not inferred,90d66b1f53dd22555ed39ae9e201b95814f1e570b5aa7a6a720aa12e96d6ab4d,,,False,verified-review
src/blinky/visibility_bridge.cpp,platform/build,A,"Independent native category ABI, optional timing/counters and sampled log; no-op implementation when disabled.",no,preserve,source inventory; build membership not inferred,cd9ad35ac7d62df112c18fe5591ae10d3beaaeb066c74d7e87e3369ff8fa46c9,,,False,verified-review
src/port3ds/archive_checks.h,platform/build,A,"RAII file/archive ownership, public libzip metadata validation and version-policy gate",no,preserve,source inventory; build membership not inferred,bb6ca2a04cf0dc75f9294d8e8160aeba340de0d97c922afc1fcb48db1fed3ed0,,,False,verified-review
src/port3ds/memory_watch.cpp,platform/build,A,"Coherent locked watch-region snapshot, bounded scalar diagnostic writer and intercepted libc guards",no,preserve,source inventory; build membership not inferred,e330819f3e697c186816971e88e3e4b155be271f56b3c4263ebe451409a46a09,,,False,verified-review
tests/blinky/3ds.h,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,5619c37adfc543a8f67adee418f5ad9770316929954d960f727b7566326b2a52,,,False,verified-review
tests/blinky/archives/index.cpp,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,e3ba12fc8af4c937c9cb715a092f82879adbc5a0fcc51bfc877c0bb3b6ed7bf3,,,False,verified-review
tests/blinky/archives/ship/resource/archive/O2rArchive.h,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,38ad4deece0dc4af8fea554be4a4fa5cad4feeedd5a93000bc880f213c4b4495,,,False,verified-review
tests/blinky/archives/zip.cpp,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,03908e3d731ee994bbc6bd052bca645681c4f725a51ac3f691be2e68a57671ee,,,False,verified-review
tests/blinky/audio.cpp,audio,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,4cb1bfb1ba64b75c69cbb9628a152ba1f245f1814cf9f07ea68ebdce8a853b62,,,False,verified-review
tests/blinky/audio_regressions.cpp,audio,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,8663559742e5633225951569ce65c12b99a0ed143c056250827f890800458715,,,False,verified-review
tests/blinky/graphics/3ds.h,platform/build,A,Extend existing host collaborator with observable stereo state.,no,preserve,test-only,950fd42f2098ca133b8c428dad3016a00f6e2e127dbebe81703dcb762e2c7667,,,False,verified-review
tests/blinky/graphics/citro3d.h,platform/build,A,Provide zero-valued queue timing collaborators; never interpreted as hardware measurements.,no,preserve,test-only,56f75ee4d125a9425f3f9de234160e7a15be065af9148d4433fb9a990505c8fe,,,False,verified-review
tests/blinky/graphics/occlusion.inc,platform/build,A,"New production-backend guards including actual C3D submission rejection, alpha/scope/stereo/target/frame/depth invalidation and OFF behavior.",no,preserve,test-only,7c10d3e95ed8974dbefbaaedba1419dbfd99e015bbc9173c33bcbd67876211ee,,,False,verified-review
tests/blinky/graphics/orientation.inc,platform/build,A,"New independently written bounded opaque-triangle/nearest-texture test with four unequal color regions, 13x9 logical and16x16 allocated dimensions, raw color/depth sentinels, CPU/GPU comparison, target inversion, cross-convention copies and LCD mapping. Its address/rotation expectations come from the public hardware contract; no external implementation body imported.",no,preserve,test-only,ab4faea0fd8d290717065f3be56720d473cd97064b9efc94a2f2f35c6e25efd1,,,False,verified-review
tests/blinky/graphics/renderer.cpp,platform/build,A,Invoke new integration scenarios; preserve all previous production regressions.,no,preserve,test-only,e809a72947e6b9e54ab0d46ce54590824c12073c8bfafdf7682540aed1749875,,,False,verified-review
tests/blinky/graphics/unused_framebuffer.inc,platform/build,A,"New independently written regression drives the production renderer through a nonzero grayscale fallback with absent, stale unused and algebraically canceled framebuffer samplers. Pixel identity is checked alongside actual snapshot counts; real LUS decoding keeps its existing attribution.",no,preserve,test-only,89bb511ffe1e5834b36c8e89323c4065a9e5e8877876183db93ae2a8adf36700,,,False,verified-review
tests/blinky/lifecycle.cpp,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,86b16ddeb8e2b6aef5ad65ec9ca95c229bbd37bafe8bfd04aeaef7031a7acfa9,,,False,verified-review
tests/blinky/occlusion.cpp,platform/build,A,New independent corner/pixel geometry oracles and conservative/budget/stereo cases;1000 seeded perspective triangles.,no,preserve,test-only,de7b18e2eb200c2784f070148dc9ea6a003eb30b9a27ff85f9436c3bc801919d,,,False,verified-review
tests/blinky/render_math.cpp,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,8de7a747d7c1e810763e96a387c493bc621628123c4d36b9bbdf1182cb630067,,,False,verified-review
tests/blinky/ship/audio/AudioPlayer.h,audio,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,352a5ffd20cbf3df8edcb1e8bde908f4244a7a8aca06dc320206163073a300fe,,,False,verified-review
tests/blinky/ship/window/Window.h,platform/build,A,Preserved Blinky implementation/test fixture from migration 06; exact bytes match its recorded authored-source review. Public SDK/LUS interfaces retain their attribution; file identity alone is not an authorship inference.,no,preserve,test-only,7862018eb495f966e2ee604bcddaccfc46cc24f1159ccb30df968ef10b30f16e,,,False,verified-review
tests/blinky/window.cpp,platform/build,A,"Update existing production-backend expectations for startup20, capped20/30/60/999 and nonpositive requests; retain the lower10 target case and all lifecycle/ownership scenarios.",no,preserve,test-only,aa6d7cdb820a13cbe2e5ed390e6db83f5a30811414cb230079d36cf3755cb76b,,,False,verified-review
tests/preflight_archive_test.cpp,platform/build,D,Local failure-injection fixture validating 34 production archive gate cases and resource cleanup canaries,no,preserve,test-only,8fa2d99259e0bdd575adc050a7b728190a456875567c3ec3e86b9f44b3581054,,,False,verified-review
tests/preflight_stubs/zip.h,platform/build,D,Minimal test-only libzip API declarations; signatures and constants derive from public libzip headers,no,preserve,test-only,f52aed357797248b5fd682015e38665ba35492c07e5dc5c4d406b452e0e55315,,,False,verified-review
tests/stability_audit1/alias_post.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,99a0509248fee6ffa8cf439345856e16f7dde10511199e9d3c407949811512ca,,,False,verified-review
tests/stability_audit1/alias_pre.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,61c34803b5eff029cb0b3448bc14cf9c477b08598c2cea61ad6c5a1e8381b7b0,,,False,verified-review
tests/stability_audit1/binary.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,c03e673e7861af2773d79dbe413112f3193a6dbe47ad54ca732d5fd8abd0e125,,,False,verified-review
tests/stability_audit1/manager_post.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,2ec932534fa63034da65f0676bdceb80c3b812098987a305f44369f5a37092e3,,,False,verified-review
tests/stability_audit1/manager_pre.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,6b93d3d581f07ca4dd438437e19794568c9c6b82633e87df9b8073d5618167fe,,,False,verified-review
tests/stability_audit1/pins_post.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,469b93fdcf1f6bffc3c26c75536e605a6a8c172080df9dc1fed9bff5dafa179a,,,False,verified-review
tests/stability_audit1/pins_pre.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,44cb40cbd0d83ccf4b93a64bcffe3496d0a15cc8dfb650b22192d710d55037e1,,,False,verified-review
tests/stability_audit1/xml_post.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,b1d8c07fc67c0b4c4bbd204fbf794b81bd3c8fe712a84ecf540f9b7bb16d9b1e,,,False,verified-review
tests/stability_audit1/xml_pre.cpp,platform/build,D,"Local test-only fixture: error injection, canaries, ownership or publication assertions; production code is extracted/linked separately",no,preserve,test-only,7427b9fc7bd58a7de2e41dc70125913a9f32283289af23f36c30d6b4bd26cad0,,,False,verified-review
tests/test_2ship_extension_index.py,platform/build,D,"Extend the preserved local regression harness with the actual production GetArchives snapshot factory, fresh-owner/order/null/empty/repeated checks, and a deterministic temporary-owner mutation. Quarantine the physical snapshot allocation separately from its exposed shared_ptr control block so the mutant fails with code 86 before using released storage. Preserve the 50,496-resource alias, override, prefix and alternate-preload cases; extracted MM/LUS functions retain upstream attribution.",no,preserve,test-only,01e995886ea672888d15c829a04989253229dc1a31b957977c5508f9f61ccb52,,,False,verified-review
tests/test_2ship_preflight.py,platform/build,D,Local host compilation runner for real archive gate plus libzip boundary double,no,preserve,test-only,6728908b1bac1eb8e7438f3e80a37a59202f0757442578a462fa6469bb1f39ca,,,False,verified-review
